id,title,primary_type,secondary_tags,embodiment_level,human_nms_modeling,sensorimotor_control,human_robot_interaction,assistive_control,rehabilitation_relevance,subject_specific_validation,evidence_level,overall_embodied_ai_assessment,card_file
DT001,A Digital Twin Framework for Precision Neuromusculoskeletal Health Care,embodied_ai_related_weak,framework|human NMS architecture,E0,a conceptual neural–muscle–skeletal and tissue hierarchy,the perception–action loop is specified but not implemented,none,conceptual only,"high as a research agenda, untested as rehabilitation technology",none,full_text_checked,"It contributes a systems architecture for future embodied agents, not empirical embodied intelligence.",cards/01_foundations_and_nms_models.md
DT002,Digital twin systems for musculoskeletal applications,embodied_ai_related_weak,review|musculoskeletal applications,E0,"surveys multibody, FE and AI components","no implemented policy, action loop or environment interaction",none,conceptual only,"medium, through orthopedic use cases rather than tested rehabilitation",reviewed studies are heterogeneous,full_text_checked,It maps enabling components but does not establish an embodied NMS system.,cards/01_foundations_and_nms_models.md
DT003,Human digital twins in sports and rehabilitation,embodied_ai_related_weak,systematic review|field validation,E0,audits heterogeneous human digital-twin representations,no implemented sensorimotor agent,none,none,"high at field level, but no system-level rehabilitation test",not applicable,full_text_checked,"Its real contribution is an audit showing that monitoring interfaces are often mislabeled as twins; it is contextual evidence, not an embodied-AI method.",cards/01_foundations_and_nms_models.md
NMS001,Neuromusculoskeletal modeling from neural command,modeling,neural control|physiological mechanics,E1,an EMG-to-activation-to-muscle-force-to-joint-moment body model,offline neural-to-mechanical inference with no action or environmental feedback,none,none,indirect but foundational for rehabilitation and assistance,subject-specific calibration in human movement data,methods_results_checked_via_full_text_secondary_copy,"It provides a physiologically interpretable body model for an embodied agent, but no embodied controller.",cards/01_foundations_and_nms_models.md
NMS002,OpenSim,modeling,software infrastructure|biomechanics,E1,a general musculoskeletal dynamics and simulation platform,"supports optimal control and simulation, but the paper itself does not implement a learning agent or adaptive loop",none in the platform paper,possible but not demonstrated,broad enabling relevance,"models can be scaled to subjects, but validation is application dependent",full_text_checked,OpenSim is body-model infrastructure; using it alone is not an embodied-AI contribution.,cards/01_foundations_and_nms_models.md
NMS003,CEINMS Toolbox,modeling,personalization|EMG-informed mechanics,E1,a calibrated EMG-informed/assisted NMS body model,estimates internal state offline; no agent action or environment loop,none,none,high as a mechanistic rehabilitation substrate,"subject-specific calibration is central, while internal-force truth remains indirect",full_text_checked,"CEINMS is a strong physiological substrate, not an embodied-intelligence system by itself.",cards/01_foundations_and_nms_models.md
NMS004,Hybrid EMG-informed NMS modeling,modeling,neural control|missing-muscle inference,E1,a hybrid EMG-informed NMS representation,infers latent excitations and joint moments offline without selecting actions,none,none,indirect,healthy subject-specific models with limited sample diversity,methods_results_checked,"It advances neural-state completion for body modeling, not embodied control.",cards/01_foundations_and_nms_models.md
NMS005,Real-time EMG-driven NMS modeling,modeling,real-time state estimation|personalization,E1,a real-time subject-specific EMG-driven lower-limb NMS model,"continuous sensing updates the body state, but the evaluated paper does not close an action–environment loop",no physical robot in this study,potential downstream use,high as the state-estimation layer for assistance,subject-specific real-time validation including unseen tasks/DOF,methods_results_checked,It is a nearest real-time body-state estimator; embodied intelligence begins only when its estimate changes action and is evaluated in interaction.,cards/01_foundations_and_nms_models.md
NMS007,Subject-specific versus generic MSK modeling,modeling,personalization validation|MRI,E1,generic and MRI-personalized muscle geometry/parameters,no perception–action loop,none,none,indirect,strong subject-specific anatomical comparison,full_text_checked,"It validates why individual body structure can matter, but contributes no embodied agent or controller.",cards/02_personalization_multiscale_and_intervention.md
NMS008,Wrapping-surface personalization,modeling,geometric personalization|surrogate modeling,E1,personalized muscle wrapping inside an EMG-driven NMS model,offline calibration and prediction only,none,none,indirect,subject-specific geometry is evaluated without direct internal-load ground truth,full_text_checked,It improves the fidelity/efficiency of the body model rather than embodied intelligence.,cards/02_personalization_multiscale_and_intervention.md
