id,title,primary_type,secondary_type,dt_level,evidence_level,phd_relevance,card_file
DT001,A Digital Twin Framework for Precision Neuromusculoskeletal Health Care,framework,modeling,concept_L4-L5,full_text_checked,strong_foundation,cards/01_frameworks_and_foundations.md
DT002,Digital twin systems for musculoskeletal applications,review,framework,concept_L3-L5,full_text_checked,useful_field_review,cards/01_frameworks_and_foundations.md
DT003,Human digital twins in sports and rehabilitation,validation,systematic_review,field_audit,full_text_checked,useful_validation_benchmark,cards/01_frameworks_and_foundations.md
NMS001,Neuromusculoskeletal modeling from neural command,modeling,foundation,L1,methods_results_checked_via_full_text_secondary_copy,strong_foundation,cards/01_frameworks_and_foundations.md
NMS002,OpenSim,modeling,software_infrastructure,L0,full_text_checked,strong_infrastructure,cards/01_frameworks_and_foundations.md
NMS003,CEINMS Toolbox,personalization,modeling_infrastructure,L1,full_text_checked,strong_foundation,cards/01_frameworks_and_foundations.md
NMS004,Hybrid EMG-informed NMS modeling,modeling,neural_control,L1,methods_results_checked,strong_foundation,cards/01_frameworks_and_foundations.md
NMS005,Real-time EMG-driven NMS modeling,modeling,real_time_personalization,L2,methods_results_checked,nearest_state_estimator,cards/01_frameworks_and_foundations.md
NMS007,Subject-specific versus generic MSK modeling,validation,personalization,L1,full_text_checked,strong_validation_foundation,cards/02_personalization_and_multiscale.md
NMS008,Wrapping-surface personalization,personalization,modeling,L1,full_text_checked,potential_personalization_method,cards/02_personalization_and_multiscale.md
NMS009,Calibration of EMD and maximum isometric force,validation,personalization,L1,methods_results_checked,strong_methodological_warning,cards/02_personalization_and_multiscale.md
NMS010,RL personalization of EMG-driven models,personalization,neural_interface,L1-L2,full_text_checked,useful_fast_binding_method,cards/02_personalization_and_multiscale.md
NMS011,NMSM Pipeline,personalization,predictive_modeling,L3_substrate,full_text_checked,strong_predictive_substrate,cards/02_personalization_and_multiscale.md
NMS012,Synergy-informed NMS modeling in cerebral palsy,modeling,sensing_burden_reduction,L1,full_text_checked,strong_sparse_sensing_method,cards/02_personalization_and_multiscale.md
NMS013,Patient-specific MSK-FE rehabilitation pipeline,personalization,multiscale_modeling,L1-L3,methods_results_checked,strong_multiscale_foundation,cards/02_personalization_and_multiscale.md
NMS014,Personalized real-time Achilles multiscale model,near_true_twin,sensing_and_multiscale,L2_near_L4,full_text_checked,nearest_prior_work,cards/02_personalization_and_multiscale.md
NMS015,Continuous calibration for exoskeleton control,near_true_twin,online_personalization,L4_like,abstract_and_methods_summary_checked,closest_technical_prior,cards/02_personalization_and_multiscale.md
NMS017,Benchmarking personalized hand models,validation,personalization,L1,full_text_checked,strong_validation_benchmark,cards/02_personalization_and_multiscale.md
NMS018,Imaging-assisted personalized lumbar robot rehabilitation,near_true_twin,personalization_and_control,L3-L4,full_text_checked,strong_intervention_exemplar,cards/02_personalization_and_multiscale.md
